OBJECTID,LSOA11CD,LSOA11NM,X_COORD,Y_COORD,STUD_TOT,STUD_EconActive_InEmployment,STUD_EconActive_Unemployed,STUD_EconInactive
6164,E01032504,Leeds 007F,425803.285,442661.831,64,22,3,39
6166,E01032502,Leeds 017F,424936.797,438926.118,99,21,16,62
6167,E01032503,Leeds 007E,424436.105,443023.218,57,20,4,33
6168,E01032500,Leeds 067H,426509.387,433685.112,55,22,8,25
6169,E01032501,Leeds 017E,424688.965,439321.698,52,17,8,27
6191,E01011646,Leeds 037C,433291.068,436458.695,88,25,9,54
6192,E01011647,Leeds 037D,432292.206,436060.266,143,41,16,86
6193,E01011645,Leeds 032D,432396.818,436779.942,86,30,8,48
6194,E01011642,Leeds 032C,431998.095,436662.423,97,25,7,65
6195,E01011643,Leeds 037A,433157.695,436816.75,49,7,1,41
6196,E01011641,Leeds 032B,431830.929,437351.579,77,26,5,46
6197,E01011648,Leeds 037E,432755.206,436119.787,131,37,17,77
6198,E01011649,Leeds 022B,434588.123,439801.77,74,27,1,46
6274,E01011466,Leeds 094A,431211.374,428672.066,72,23,10,39
6275,E01011467,Leeds 112A,430956.175,431744.776,61,18,9,34
6276,E01011464,Leeds 028E,424980.643,437966.115,76,38,3,35
6277,E01011465,Leeds 027E,423768.012,437589.019,55,18,4,33
6278,E01011462,Leeds 028C,424160.877,437917.476,100,28,16,56
6279,E01011463,Leeds 028D,424628.31,438038.331,74,21,7,46
6280,E01011460,Leeds 028B,424394.863,438408.054,76,26,3,47
6281,E01011461,Leeds 021D,423093.006,438182.526,74,25,3,46
6282,E01011468,Leeds 112B,431494.616,431272.39,82,18,7,57
6283,E01011469,Leeds 094B,431788.52,429307.004,55,16,4,35
6368,E01033005,Leeds 055H,429736.675,434880.227,2380,425,304,1651
6369,E01033002,Leeds 055F,430406.34,434417.567,340,55,15,270
6370,E01033003,Leeds 055G,430554.262,434423.195,301,110,30,161
6371,E01033008,Leeds 111A,429523.295,433387.133,231,44,9,178
6410,E01011306,Leeds 089E,440979.493,430576.564,68,23,10,35
6411,E01011307,Leeds 103A,441221.565,428372.169,67,16,5,46
6412,E01011386,Leeds 016D,426941.23,439503.437,69,26,5,38
6413,E01011304,Leeds 089C,441694.972,430099.084,63,25,8,30
6414,E01011385,Leeds 016C,427816.811,439233.828,57,15,1,41
6415,E01011305,Leeds 089D,441238.652,430088.364,62,23,4,35
6416,E01011384,Leeds 017B,425100.149,439745.761,79,35,3,41
6417,E01011302,Leeds 088C,441878.871,430768.34,49,20,4,25
6418,E01011383,Leeds 019A,426309.875,439570.913,83,30,8,45
6419,E01011382,Leeds 013D,424686.931,439841.095,62,18,11,33
6420,E01011300,Leeds 089A,441001.645,431114.234,63,22,3,38
6421,E01011381,Leeds 016B,426592.609,440267.729,82,28,4,50
6422,E01011301,Leeds 089B,441415.507,430932.551,43,22,4,17
6423,E01011380,Leeds 016A,427706.775,439649,69,18,7,44
6424,E01011308,Leeds 103B,440639.211,428850.944,58,19,4,35
6425,E01011309,Leeds 030C,440637.409,437590.785,56,23,7,26
6426,E01011388,Leeds 019B,425447.746,439228.69,78,28,7,43
6438,E01011266,Leeds 008A,418030.266,442249.607,108,51,10,47
6439,E01011267,Leeds 009B,419747.078,441929.202,55,24,0,31
6440,E01011264,Leeds 011A,421008.295,441621.422,54,27,3,24
6441,E01011265,Leeds 009A,419078.012,441992.083,59,28,3,28
