2011LSOAs,mnemonic,row,AllCategories,Full-time_EconActive_InEmployment,Full-time_EconActive_Unemployed,Full-time_EconInactive
Leeds 001A,E01011698,1,63,21,9,33
Leeds 001B,E01011699,2,55,29,3,23
Leeds 001C,E01011701,3,69,30,2,37
Leeds 001D,E01011702,4,59,26,3,30
Leeds 001E,E01011703,5,63,26,4,33
Leeds 002A,E01011697,6,60,20,7,33
Leeds 002B,E01011700,7,97,34,10,53
Leeds 002C,E01011704,8,36,18,3,15
Leeds 002D,E01011705,9,43,17,4,22
Leeds 003A,E01011581,10,56,24,0,32
Leeds 003B,E01011582,11,59,20,5,34
Leeds 003C,E01011583,12,76,28,7,41
Leeds 003D,E01011584,13,61,18,8,35
Leeds 004A,E01011569,14,71,28,4,39
Leeds 004B,E01011571,15,60,16,4,40
Leeds 004C,E01011572,16,66,30,7,29
Leeds 004D,E01011573,17,72,34,5,33
Leeds 004E,E01011574,18,36,21,1,14
Leeds 005A,E01011707,19,53,18,1,34
Leeds 005B,E01011709,20,66,20,2,44
Leeds 005C,E01011710,21,45,18,1,26
Leeds 005D,E01011711,22,46,17,1,28
Leeds 005E,E01011712,23,48,18,2,28
Leeds 006A,E01011561,24,70,28,5,37
Leeds 006B,E01011696,25,59,26,6,27
Leeds 006C,E01011706,26,52,24,2,26
Leeds 006D,E01011708,27,83,26,8,49
Leeds 006E,E01011713,28,77,21,7,49
Leeds 007A,E01011570,29,81,29,7,45
Leeds 007C,E01011576,30,89,32,6,51
Leeds 007E,E01032503,31,57,20,4,33
Leeds 007F,E01032504,32,64,22,3,39
Leeds 008A,E01011266,33,108,51,10,47
Leeds 008B,E01011270,34,66,21,1,44
Leeds 008C,E01011279,35,55,23,5,27
Leeds 008D,E01011280,36,72,36,4,32
Leeds 009A,E01011265,37,59,28,3,28
Leeds 009B,E01011267,38,55,24,0,31
Leeds 009C,E01011271,39,94,38,3,53
Leeds 009D,E01011272,40,62,29,1,32
Leeds 010A,E01011268,41,53,15,6,32
Leeds 010B,E01011273,42,64,20,5,39
Leeds 010C,E01011274,43,53,14,7,32
Leeds 010D,E01011275,44,61,22,5,34
Leeds 011A,E01011264,45,54,27,3,24
Leeds 011B,E01011269,46,52,19,1,32
Leeds 011C,E01011276,47,56,26,0,30
Leeds 011D,E01011578,48,58,23,2,33
Leeds 012A,E01011554,49,67,20,3,44
Leeds 012B,E01011562,50,108,28,1,79
Leeds 012C,E01011563,51,72,25,4,43
Leeds 012D,E01011564,52,78,21,14,43
Leeds 012E,E01011567,53,82,25,9,48
Leeds 013A,E01011376,54,66,32,0,34
Leeds 013B,E01011377,55,80,39,9,32
Leeds 013C,E01011378,56,76,21,5,50
Leeds 013D,E01011382,57,62,18,11,33
Leeds 014A,E01011277,58,54,27,6,21
Leeds 014B,E01011278,59,55,24,2,29
Leeds 014C,E01011579,60,56,23,5,28
Leeds 014D,E01011580,61,54,15,5,34
Leeds 015A,E01011556,62,66,25,11,30
Leeds 015B,E01011557,63,100,31,8,61
Leeds 015C,E01011565,64,65,16,9,40
Leeds 015D,E01011566,65,66,25,4,37
Leeds 015E,E01011568,66,105,41,8,56
Leeds 016A,E01011380,67,69,18,7,44
Leeds 016B,E01011381,68,82,28,4,50
Leeds 016C,E01011385,69,57,15,1,41
Leeds 016D,E01011386,70,69,26,5,38
Leeds 017A,E01011379,71,69,20,11,38
Leeds 017B,E01011384,72,79,35,3,41
Leeds 017E,E01032501,73,52,17,8,27
Leeds 017F,E01032502,74,99,21,16,62
Leeds 018A,E01011555,75,78,20,7,51
Leeds 018B,E01011558,76,94,27,19,48
Leeds 018C,E01011559,77,91,25,12,54
Leeds 018D,E01011560,78,97,27,11,59
Leeds 019A,E01011383,79,83,30,8,45
Leeds 019B,E01011388,80,78,28,7,43
Leeds 019C,E01011684,81,109,38,12,59
Leeds 019D,E01011695,82,84,19,13,52
Leeds 020A,E01011650,83,71,21,4,46
Leeds 020B,E01011651,84,64,23,4,37
Leeds 020C,E01011653,85,73,24,4,45
Leeds 020D,E01011655,86,53,23,1,29
Leeds 021A,E01011455,87,250,87,38,125
Leeds 021B,E01011456,88,155,58,7,90
Leeds 021C,E01011459,89,68,22,6,40
Leeds 021D,E01011461,90,74,25,3,46
Leeds 022A,E01011311,91,45,12,0,33
Leeds 022B,E01011649,92,74,27,1,46
Leeds 022C,E01011715,93,68,26,1,41
Leeds 022D,E01011719,94,54,18,2,34
Leeds 023A,E01011509,95,64,28,7,29
Leeds 023B,E01011511,96,76,19,3,54
Leeds 023C,E01011512,97,92,32,7,53
Leeds 023D,E01011515,98,89,31,5,53
Leeds 023E,E01011516,99,109,43,4,62
Leeds 024A,E01011508,100,102,24,8,70
Leeds 024B,E01011517,101,93,22,11,60
Leeds 024C,E01011652,102,86,32,8,46
Leeds 024D,E01011654,103,71,24,5,42
Leeds 025A,E01011505,104,96,13,19,64
Leeds 025B,E01011506,105,82,23,9,50
Leeds 025C,E01011507,106,76,17,9,50
Leeds 025D,E01011510,107,82,29,12,41
Leeds 025E,E01011514,108,86,22,8,56
Leeds 027A,E01011452,109,67,28,4,35
Leeds 027B,E01011454,110,62,30,2,30
Leeds 027C,E01011457,111,118,23,4,91
Leeds 027D,E01011458,112,55,23,2,30
Leeds 027E,E01011465,113,55,18,4,33
Leeds 028A,E01011453,114,63,24,3,36
Leeds 028B,E01011460,115,76,26,3,47
Leeds 028C,E01011462,116,100,28,16,56
Leeds 028D,E01011463,117,74,21,7,46
Leeds 028E,E01011464,118,76,38,3,35
Leeds 029A,E01011714,119,78,26,9,43
Leeds 029B,E01011716,120,95,39,8,48
Leeds 029C,E01011717,121,54,23,7,24
Leeds 029D,E01011718,122,69,21,13,35
Leeds 029E,E01011720,123,65,17,8,40
Leeds 030A,E01011296,124,49,19,4,26
Leeds 030B,E01011297,125,62,25,2,35
Leeds 030C,E01011309,126,56,23,7,26
Leeds 030D,E01011310,127,71,22,6,43
Leeds 031A,E01011513,128,108,43,9,56
Leeds 031B,E01011688,129,86,21,8,57
Leeds 031C,E01011689,130,86,32,5,49
Leeds 031D,E01011691,131,151,48,21,82
Leeds 032A,E01011504,132,96,31,14,51
Leeds 032B,E01011641,133,77,26,5,46
Leeds 032C,E01011642,134,97,25,7,65
Leeds 032D,E01011645,135,86,30,8,48
Leeds 033A,E01011484,136,81,26,7,48
Leeds 033B,E01011485,137,92,31,10,51
Leeds 033E,E01011686,138,78,31,14,33
Leeds 033F,E01032493,139,61,14,13,34
Leeds 033G,E01032494,140,115,41,12,62
Leeds 034A,E01011350,141,85,20,5,60
Leeds 034B,E01011351,142,66,29,3,34
Leeds 034C,E01011352,143,72,25,4,43
Leeds 034D,E01011353,144,81,25,5,51
Leeds 035A,E01011656,145,87,27,7,53
Leeds 035B,E01011657,146,58,16,2,40
Leeds 035C,E01011659,147,63,20,4,39
Leeds 035D,E01011661,148,67,15,6,46
Leeds 037A,E01011643,149,49,7,1,41
Leeds 037B,E01011644,150,61,21,5,35
Leeds 037C,E01011646,151,88,25,9,54
Leeds 037D,E01011647,152,143,41,16,86
Leeds 037E,E01011648,153,131,37,17,77
Leeds 038A,E01011354,154,110,27,13,70
Leeds 038B,E01011355,155,88,17,10,61
Leeds 038C,E01011357,156,143,37,26,80
Leeds 038D,E01011450,157,90,33,3,54
Leeds 039A,E01011588,158,76,27,3,46
Leeds 039B,E01011589,159,64,34,6,24
Leeds 039C,E01011590,160,55,22,0,33
Leeds 039D,E01011592,161,39,16,1,22
Leeds 039E,E01011593,162,77,25,5,47
Leeds 040A,E01011421,163,89,21,16,52
Leeds 040B,E01011425,164,107,52,6,49
Leeds 040C,E01011658,165,65,19,10,36
Leeds 040D,E01011660,166,54,21,5,28
Leeds 040E,E01011662,167,67,13,7,47
Leeds 041A,E01011721,168,66,18,11,37
Leeds 041B,E01011722,169,101,30,10,61
Leeds 041C,E01011723,170,66,15,10,41
Leeds 041D,E01011724,171,88,32,7,49
Leeds 042A,E01011356,172,125,37,12,76
Leeds 042B,E01011358,173,88,25,8,55
Leeds 042C,E01011359,174,160,51,19,90
Leeds 042D,E01011360,175,194,35,16,143
Leeds 042E,E01011361,176,276,56,50,170
Leeds 044A,E01011435,177,1286,512,118,656
Leeds 044D,E01011440,178,933,338,73,522
Leeds 044E,E01011441,179,1040,345,68,627
Leeds 044F,E01032945,180,2250,902,178,1170
Leeds 045A,E01011477,181,309,89,34,186
Leeds 045B,E01011480,182,232,87,30,115
Leeds 045C,E01011488,183,128,61,8,59
Leeds 045D,E01011489,184,185,68,20,97
Leeds 046A,E01011324,185,1159,375,258,526
Leeds 046B,E01011325,186,72,22,13,37
Leeds 046C,E01011326,187,52,16,3,33
Leeds 046D,E01011332,188,70,16,12,42
Leeds 047A,E01011423,189,73,24,9,40
Leeds 047B,E01011424,190,111,33,19,59
Leeds 047C,E01011427,191,140,31,21,88
Leeds 047D,E01011431,192,136,35,26,75
Leeds 048A,E01011422,193,143,38,16,89
Leeds 048B,E01011426,194,166,44,26,96
Leeds 048C,E01011428,195,183,42,30,111
Leeds 048D,E01011429,196,215,56,24,135
Leeds 050A,E01011663,197,64,14,7,43
Leeds 050B,E01011664,198,61,18,6,37
Leeds 050C,E01011665,199,76,21,12,43
Leeds 050D,E01011667,200,86,11,6,69
Leeds 051A,E01011323,201,53,18,5,30
Leeds 051B,E01011329,202,76,30,13,33
Leeds 051C,E01011330,203,54,22,6,26
Leeds 051D,E01011333,204,48,21,5,22
Leeds 052A,E01011327,205,77,13,11,53
Leeds 052B,E01011328,206,61,18,5,38
Leeds 052C,E01011335,207,71,17,13,41
Leeds 052D,E01011591,208,47,22,2,23
Leeds 053A,E01011430,209,132,23,31,78
Leeds 053B,E01011432,210,113,29,17,67
Leeds 053C,E01011433,211,106,27,17,62
Leeds 053D,E01011434,212,99,27,15,57
Leeds 054A,E01011445,213,1371,344,84,943
Leeds 054B,E01011446,214,1040,268,82,690
Leeds 054C,E01011447,215,929,252,68,609
Leeds 054D,E01011448,216,978,238,55,685
Leeds 054E,E01011449,217,595,175,52,368
Leeds 055A,E01011670,218,1244,319,170,755
Leeds 055B,E01011671,219,245,72,15,158
Leeds 055F,E01033002,220,340,55,15,270
Leeds 055G,E01033003,221,301,110,30,161
Leeds 055H,E01033005,222,2380,425,304,1651
Leeds 056A,E01011478,223,436,153,39,244
Leeds 056B,E01011479,224,762,260,64,438
Leeds 056C,E01011481,225,538,171,47,320
Leeds 056D,E01011482,226,233,88,22,123
Leeds 056E,E01011483,227,434,141,23,270
Leeds 057A,E01011406,228,60,23,3,34
Leeds 057B,E01011407,229,49,20,5,24
Leeds 057C,E01011408,230,42,22,1,19
Leeds 057D,E01011409,231,64,21,10,33
Leeds 057E,E01011410,232,42,15,4,23
Leeds 057F,E01011412,233,53,19,4,30
Leeds 058A,E01011331,234,47,17,5,25
Leeds 058B,E01011334,235,51,23,4,24
Leeds 058C,E01011336,236,51,19,7,25
Leeds 058D,E01011337,237,89,15,17,57
Leeds 059A,E01011281,238,88,23,12,53
Leeds 059B,E01011282,239,60,17,11,32
Leeds 059C,E01011283,240,72,19,9,44
Leeds 059D,E01011286,241,61,25,9,27
Leeds 059E,E01011295,242,73,26,10,37
Leeds 060A,E01011339,243,95,30,17,48
Leeds 060B,E01011340,244,107,33,13,61
Leeds 060C,E01011342,245,95,24,8,63
Leeds 060D,E01011346,246,87,19,12,56
Leeds 061A,E01011341,247,69,25,10,34
Leeds 061B,E01011343,248,67,28,7,32
Leeds 061C,E01011345,249,67,19,11,37
Leeds 061D,E01011666,250,86,26,14,46
Leeds 062A,E01011585,251,51,22,7,22
Leeds 062B,E01011587,252,70,28,9,33
Leeds 062C,E01011594,253,63,25,3,35
Leeds 062D,E01011596,254,57,17,2,38
Leeds 062E,E01011598,255,43,11,7,25
Leeds 063B,E01011678,256,3381,793,636,1952
Leeds 063D,E01011681,257,671,206,80,385
Leeds 063E,E01033006,258,2370,369,172,1829
Leeds 064A,E01011338,259,163,47,26,90
Leeds 064B,E01011673,260,146,32,31,83
Leeds 064D,E01011677,261,90,34,8,48
Leeds 064E,E01033031,262,129,55,18,56
Leeds 064F,E01033035,263,98,29,5,64
Leeds 065A,E01011344,264,88,24,14,50
Leeds 065B,E01011347,265,108,28,16,64
Leeds 065C,E01011348,266,106,25,18,63
Leeds 065D,E01011349,267,85,28,12,45
Leeds 066A,E01011586,268,78,34,8,36
Leeds 066B,E01011595,269,105,29,7,69
Leeds 066C,E01011597,270,103,24,12,67
Leeds 066D,E01011599,271,70,23,4,43
Leeds 067B,E01011287,272,58,23,5,30
Leeds 067G,E01032499,273,108,43,10,55
Leeds 067H,E01032500,274,55,22,8,25
Leeds 067I,E01032606,275,81,21,5,55
Leeds 067J,E01032607,276,45,13,7,25
Leeds 067K,E01032608,277,76,27,17,32
Leeds 068A,E01011608,278,60,30,4,26
Leeds 068B,E01011609,279,53,15,3,35
Leeds 068C,E01011610,280,71,25,6,40
Leeds 068D,E01011611,281,62,12,8,42
Leeds 068E,E01011614,282,61,27,8,26
Leeds 069A,E01011413,283,79,28,8,43
Leeds 069B,E01011415,284,68,31,7,30
Leeds 069C,E01011416,285,83,43,7,33
Leeds 069D,E01011417,286,54,24,5,25
Leeds 069E,E01011420,287,44,14,5,25
Leeds 070A,E01011615,288,73,22,8,43
Leeds 070B,E01011617,289,86,38,8,40
Leeds 070C,E01011618,290,87,21,11,55
Leeds 070D,E01011621,291,90,25,15,50
Leeds 071A,E01011284,292,87,33,5,49
Leeds 071B,E01011292,293,81,24,9,48
Leeds 071C,E01011293,294,112,34,18,60
Leeds 071D,E01011294,295,45,8,9,28
Leeds 071E,E01011363,296,90,28,14,48
Leeds 072A,E01011616,297,82,13,7,62
Leeds 072B,E01011620,298,76,28,12,36
Leeds 072C,E01011622,299,121,32,19,70
Leeds 072D,E01011624,300,114,17,18,79
Leeds 073A,E01011411,301,78,28,6,44
Leeds 073B,E01011414,302,82,33,9,40
Leeds 073C,E01011418,303,76,36,7,33
Leeds 073D,E01011419,304,54,24,8,22
Leeds 074A,E01011396,305,164,50,7,107
Leeds 074B,E01011399,306,80,25,9,46
Leeds 074C,E01011400,307,73,21,10,42
Leeds 074D,E01011403,308,64,26,2,36
Leeds 075B,E01011623,309,75,21,10,44
Leeds 075C,E01011625,310,72,20,7,45
Leeds 075D,E01011626,311,137,45,9,83
Leeds 075E,E01033021,312,92,30,19,43
Leeds 075F,E01033033,313,570,145,149,276
Leeds 075G,E01033034,314,125,46,13,66
Leeds 076A,E01011602,315,46,23,2,21
Leeds 076B,E01011603,316,93,22,6,65
Leeds 076C,E01011605,317,58,18,2,38
Leeds 076D,E01011606,318,77,23,7,47
Leeds 076E,E01011613,319,61,25,9,27
Leeds 077A,E01011397,320,85,32,7,46
Leeds 077B,E01011398,321,69,23,12,34
Leeds 077C,E01011401,322,53,26,4,23
Leeds 077D,E01011404,323,63,29,5,29
Leeds 077E,E01011405,324,54,25,3,26
Leeds 078A,E01011725,325,97,31,7,59
Leeds 078B,E01011729,326,71,25,4,42
Leeds 078C,E01011730,327,71,16,12,43
Leeds 078D,E01011735,328,97,28,11,58
Leeds 079A,E01011600,329,57,25,5,27
Leeds 079B,E01011601,330,58,20,5,33
Leeds 079C,E01011604,331,53,14,2,37
Leeds 079D,E01011607,332,55,27,7,21
Leeds 079E,E01011612,333,25,14,3,8
Leeds 080A,E01011726,334,79,19,18,42
Leeds 080B,E01011727,335,46,16,2,28
Leeds 080C,E01011728,336,73,21,10,42
Leeds 080D,E01011739,337,67,17,2,48
Leeds 081A,E01011362,338,71,27,3,41
Leeds 081B,E01011731,339,58,23,4,31
Leeds 081C,E01011732,340,72,27,12,33
Leeds 081D,E01011733,341,69,30,11,28
Leeds 082A,E01011366,342,96,30,5,61
Leeds 082C,E01011368,343,82,23,12,47
Leeds 082D,E01011370,344,101,28,8,65
Leeds 082E,E01033013,345,139,53,8,78
Leeds 082F,E01033032,346,108,45,4,59
Leeds 083A,E01011734,347,92,39,10,43
Leeds 083B,E01011736,348,64,27,6,31
Leeds 083C,E01011737,349,68,21,7,40
Leeds 083D,E01011738,350,64,19,11,34
Leeds 085A,E01011364,351,126,30,21,75
Leeds 085B,E01011371,352,70,19,6,45
Leeds 085C,E01011373,353,95,37,14,44
Leeds 085D,E01011374,354,49,17,4,28
Leeds 086A,E01011312,355,99,18,26,55
Leeds 086B,E01011316,356,78,30,12,36
Leeds 086C,E01011372,357,115,27,27,61
Leeds 086D,E01011375,358,167,47,28,92
Leeds 087A,E01011390,359,70,29,7,34
Leeds 087B,E01011391,360,74,20,8,46
Leeds 087C,E01011392,361,44,13,5,26
Leeds 087D,E01011402,362,55,26,4,25
Leeds 088A,E01011298,363,46,18,3,25
Leeds 088B,E01011299,364,82,26,11,45
Leeds 088C,E01011302,365,49,20,4,25
Leeds 088D,E01011303,366,35,19,1,15
Leeds 089A,E01011300,367,63,22,3,38
Leeds 089B,E01011301,368,43,22,4,17
Leeds 089C,E01011304,369,63,25,8,30
Leeds 089D,E01011305,370,62,23,4,35
Leeds 089E,E01011306,371,68,23,10,35
Leeds 090A,E01011315,372,71,25,7,39
Leeds 090B,E01011317,373,85,26,9,50
Leeds 090C,E01011318,374,86,26,8,52
Leeds 090D,E01011321,375,111,30,21,60
Leeds 090E,E01011369,376,46,19,5,22
Leeds 091A,E01011313,377,82,30,9,43
Leeds 091B,E01011314,378,63,24,6,33
Leeds 091C,E01011319,379,74,31,5,38
Leeds 091D,E01011320,380,115,41,18,56
Leeds 091E,E01011322,381,83,27,14,42
Leeds 092A,E01011471,382,76,17,13,46
Leeds 092B,E01011472,383,86,25,11,50
Leeds 092C,E01011473,384,107,27,13,67
Leeds 092D,E01011474,385,91,32,13,46
Leeds 093A,E01011518,386,98,33,13,52
Leeds 093B,E01011524,387,56,22,4,30
Leeds 093C,E01011526,388,73,36,10,27
Leeds 093D,E01011531,389,50,16,6,28
Leeds 094A,E01011466,390,72,23,10,39
Leeds 094B,E01011469,391,55,16,4,35
Leeds 094C,E01011475,392,77,26,8,43
Leeds 094D,E01011476,393,56,18,6,32
Leeds 095A,E01011519,394,60,27,4,29
Leeds 095B,E01011522,395,56,33,3,20
Leeds 095C,E01011525,396,46,20,3,23
Leeds 095D,E01011528,397,70,32,8,30
Leeds 095E,E01011532,398,62,16,10,36
Leeds 096A,E01011520,399,56,28,8,20
Leeds 096B,E01011521,400,56,21,4,31
Leeds 096C,E01011523,401,55,25,5,25
Leeds 096D,E01011527,402,78,38,3,37
Leeds 096E,E01011529,403,63,31,8,24
Leeds 097B,E01011635,404,65,19,5,41
Leeds 097C,E01011637,405,81,25,9,47
Leeds 097D,E01011638,406,60,27,2,31
Leeds 097F,E01032487,407,43,14,5,24
Leeds 097G,E01032488,408,78,34,5,39
Leeds 098A,E01011627,409,63,16,12,35
Leeds 098B,E01011628,410,47,14,5,28
Leeds 098C,E01011629,411,51,22,0,29
Leeds 098D,E01011632,412,64,16,12,36
Leeds 098E,E01011633,413,56,27,6,23
Leeds 099A,E01011490,414,94,43,8,43
Leeds 099C,E01011502,415,44,9,4,31
Leeds 099E,E01032497,416,66,20,12,34
Leeds 099F,E01032498,417,55,21,3,31
Leeds 100A,E01011496,418,65,35,5,25
Leeds 100B,E01011630,419,67,25,9,33
Leeds 100C,E01011634,420,62,20,4,38
Leeds 100D,E01011636,421,80,23,15,42
Leeds 100E,E01011639,422,71,29,5,37
Leeds 101A,E01011491,423,71,28,8,35
Leeds 101B,E01011492,424,90,23,18,49
Leeds 101C,E01011493,425,83,16,11,56
Leeds 101D,E01011494,426,61,12,8,41
Leeds 101E,E01011497,427,80,20,9,51
Leeds 102B,E01011540,428,49,12,3,34
Leeds 102F,E01032489,429,70,29,7,34
Leeds 102G,E01032490,430,47,22,0,25
Leeds 102H,E01032491,431,48,21,9,18
Leeds 102I,E01032492,432,80,28,13,39
Leeds 103A,E01011307,433,67,16,5,46
Leeds 103B,E01011308,434,58,19,4,35
Leeds 103C,E01011393,435,68,26,4,38
Leeds 103D,E01011394,436,54,21,5,28
Leeds 103E,E01011395,437,42,17,8,17
Leeds 104A,E01011533,438,40,19,3,18
Leeds 104B,E01011541,439,45,24,2,19
Leeds 104C,E01011545,440,53,21,11,21
Leeds 104D,E01011547,441,68,26,5,37
Leeds 105C,E01011499,442,104,28,13,63
Leeds 105D,E01011500,443,66,21,14,31
Leeds 105E,E01032495,444,111,36,15,60
Leeds 105F,E01032496,445,80,34,5,41
Leeds 106A,E01011530,446,45,18,1,26
Leeds 106B,E01011534,447,49,22,5,22
Leeds 106C,E01011546,448,66,25,7,34
Leeds 106D,E01011548,449,63,23,6,34
Leeds 106E,E01011550,450,75,30,3,42
Leeds 107A,E01011537,451,74,26,7,41
Leeds 107B,E01011538,452,67,27,10,30
Leeds 107C,E01011551,453,72,29,6,37
Leeds 107D,E01011552,454,62,19,5,38
